country,imports,exports
papua-new-guinea,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Parts of machinery of heading 8426 8429 and 8430 n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Food preparations n.e.s.', 'Parts and accessories for tractors motor vehicles for the transport of ten or more persons motor cars and other motor vehicles principally designed for the transport of persons motor vehicles for the transport of goods and special purpose motor vehicles n.e.s.', 'Casks drums cans boxes and similar containers incl. rigid tubular containers of aluminium for any material (other than compressed or liquefied gas) of a capacity of <= 300 l n.e.s.', 'Frozen cuts of sheep with bone in (excl. carcases and half-carcases)']","['Natural gas liquefied', 'Base metals silver or gold clad with platinum not further worked than semi-manufactured', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Crude palm oil', 'Copper ores and concentrates', 'Precious-metal ores and concentrates (excl. silver ores and oncentrates)', 'Nickel oxide sinters and other intermediate products of nickel metallurgy (excl. nickel mattes)', 'Gold incl. gold plated with platinum in semi-manufactured forms for non-monetary purposes', 'Fresh or chilled skipjack or stripe-bellied bonito', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)']"
philippines,"['Electronic integrated circuits (excl. such as processors controllers memories and amplifiers)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Coal whether or not pulverised non-agglomerated (excl. anthracite and bituminous coal)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Copper ores and concentrates', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only spark-ignition internal combustion reciprocating piston engine of a cylinder capacity > 1.000 cm³ but <= 1.500 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)', 'Motor vehicles for the transport of goods with only compression-ignition internal combustion piston engine ""diesel or semi-diesel"" of a gross vehicle weight <= 5 t (excl. dumpers for off-highway use of subheading 8704.10 and special purpose motor vehicles of heading 8705)']","['Electronic integrated circuits (excl. such as processors controllers memories and amplifiers)', 'Electronic integrated circuits as processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits', 'Electronic integrated circuits as memories', 'Ignition wiring sets and other wiring sets for vehicles aircraft or ships', 'Storage units for automatic data-processing machines', 'Copper ores and concentrates', 'Copper refined in the form of cathodes and sections of cathodes', 'Fresh or dried bananas (excl. plantains)', 'Crude coconut oil', 'Static converters']"
rwanda,"['Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Malt (excl. roasted)', 'Portland cement (excl. white whether or not artificially coloured)', 'Mineral or chemical fertilisers containing the three fertilising elements nitrogen phosphorus and potassium (excl. those in tablets or similar forms or in packages with a gross weight of <= 10 kg)']","['Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Black fermented tea and partly fermented tea whether or not flavoured in immediate packings of > 3 kg', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Coffee (excl. roasted and decaffeinated)', 'Ores and concentrates (excl. iron manganese copper nickel cobalt aluminium lead zinc tin chromium tungsten uranium thorium molybdenum titanium niobium tantalum vanadium zirconium precious-metal or antimony ores and concentrates)', 'Tin ores and concentrates', 'Niobium tantalum or vanadium ores and concentrates', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)']"
senegal,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Broken rice', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Dredgers', ""Malt extract; food preparations of flour groats meal starch or malt extract not containing cocoa or containing < 40% by weight of cocoa calculated on a totally defatted basis n.e.s. and food preparations of milk cream butter milk sour milk sour cream whey yogurt kephir or similar goods of heading 0401 to 0404 not containing cocoa or containing < 5% by weight of cocoa calculated on a totally defatted basis n.e.s. (excl. for infant use put up for retail sale and mixes and doughs for the preparation of bakers' wares of heading 1905)"", 'Coal whether or not pulverised non-agglomerated (excl. anthracite and bituminous coal)', 'Butanes liquefied (excl. of a purity of >= 95% of N-butane or isobutane)', 'Durum wheat (excl. seed for sowing)']","['Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Phosphoric acid; polyphosphoric acids whether or not chemically defined', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Portland cement (excl. white whether or not artificially coloured)', 'Titanium ores and concentrates', 'Soups and broths and preparations therefor', 'Zirconium ores and concentrates', 'Groundnuts shelled whether or not broken (excl. seed for sowing roasted or otherwise cooked)']"
sierra-leone,"['Broken rice', 'Portland cement (excl. white whether or not artificially coloured)', 'Wheat or meslin flour', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only diesel engine of a cylinder capacity > 2.500 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)', 'Bars and rods of iron or non-alloy steel with indentations ribs groves or other deformations produced during the rolling process', 'Self-propelled mechanical shovels excavators and shovel loaders (excl. self-propelled mechanical shovels with a 360° revolving superstructure and front-end shovel loaders)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Structures and parts of structures of iron or steel n.e.s. (excl. bridges and bridge-sections towers and lattice masts doors and windows and their frames thresholds for doors props and similar equipment for scaffolding shuttering propping or pit-propping)', 'Worn clothing and clothing accessories blankets and travelling rugs household linen and articles for interior furnishing of all types of textile materials incl. all types of footwear and headgear showing signs of appreciable wear and presented in bulk or in bales sacks or similar packings (excl. carpets other floor coverings and tapestries)', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only spark-ignition internal combustion reciprocating piston engine of a cylinder capacity <= 1.000 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)']","['Frozen sea urchins ""Strongylocentrotus spp. Paracentrotus lividus Loxechinus albus Echinus esculentus""', 'Cocoa beans whole or broken raw or roasted', 'Motor vehicles for the transport of goods with only compression-ignition internal combustion piston engine ""diesel or semi-diesel"" of a gross vehicle weight <= 5 t (excl. dumpers for off-highway use of subheading 8704.10 and special purpose motor vehicles of heading 8705)', 'Slag ash and residues containing metals or metal compounds (excl. those from the manufacture of iron or steel those containing primarily zinc lead copper or aluminium those containing arsenic mercury thallium or their mixtures of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds and those containing antimony beryllium cadmium chromium or their mixtures)', 'Ores and concentrates (excl. iron manganese copper nickel cobalt aluminium lead zinc tin chromium tungsten uranium thorium molybdenum titanium niobium tantalum vanadium zirconium precious-metal or antimony ores and concentrates)', 'Crude palm oil', 'Frozen fish fins heads tails maws and other edible fish offal (excl. livers roes milt and shark fins)', 'Mahogany ""Swietenia spp."" sawn or chipped lengthwise sliced or peeled whether or not planed sanded or end-jointed of a thickness of > 6 mm', 'Ferro-cerium and other pyrophoric alloys in all forms; metaldehyde hexamethylenetetramine and similar products in tablets sticks or similar forms for use as fuel; alcohol-based fuels and prepared fuels of a similar kind whether solid or in paste form; resin torches firelighters and the like', 'Fir ""Abies spp."" and spruce ""Picea spp."" sawn or chipped lengthwise sliced or peeled whether or not planed sanded or end-jointed of a thickness of > 6 mm (excl. of S-P-F spruce&pine&fir)']"
solomon-islands,"['Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Fishing vessels; factory ships and other vessels for processing or preserving fishery products (excl. fishing boats for sport)', 'Self-propelled bulldozers and angledozers on wheels', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only spark-ignition internal combustion reciprocating piston engine of a cylinder capacity > 1.500 cm³ but <= 3.000 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)', 'Unused postage revenue or similar stamps of current or new issue in the country in which they have or will have a recognised face value; stamp-impressed paper; banknotes; cheque forms; stock share or bond certificates and similar documents of title', 'Unspecified products', 'Frozen cuts and edible offal of fowls of the species Gallus domesticus', 'Propane liquefied', 'Durum wheat (excl. seed for sowing)']","['Tropical wood in the rough whether or not stripped of bark or sapwood or roughly squared (excl. teak dark red meranti light red meranti meranti bakau; rough-cut wood for walking sticks umbrellas tool shafts and the like; wood cut into boards or beams etc.; wood treated with paint stains creosote or other preservatives)', 'Prepared or preserved tunas skipjack and Atlantic bonito whole or in pieces (excl. minced)', 'Crude palm oil', 'Aluminium ores and concentrates', 'Unspecified products', 'Cocoa beans whole or broken raw or roasted', 'Hoopwood; split poles; piles pickets and stakes of wood pointed but not sawn lengthwise; wooden sticks roughly trimmed but not turned bent or otherwise worked suitable for the manufacture of walking sticks umbrellas tool handles and the like; chipwood and the like (excl. hoopwood sawn lengthwise and carved or notched at the ends; brushmounts lasts; coniferous wood in general)', 'Copra', 'Crude coconut oil', 'Tropical wood sawn or chipped lengthwise sliced or peeled whether or not planed sanded or end-jointed of a thickness of > 6 mm (excl. virola mahogany ""Swietenia spp."" imbuia balsa teak dark red meranti light red meranti meranti bakau white lauan white meranti white seraya yellow meranti alan sapelli and iroko)']"
sri-lanka,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Coal whether or not pulverised non-agglomerated (excl. anthracite and bituminous coal)', 'Knitted or crocheted fabrics of a width of > 30 cm containing >= 5% by weight elastomeric yarn (excl. containing rubber thread pile fabrics incl. ""long pile"" looped pile fabrics labels badges and similar articles and knitted or crocheted fabrics impregnated coated covered or laminated)', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Gaseous hydrocarbons liquefied n.e.s. (excl. natural gas propane butane ethylene propylene butylene and butadiene)', 'Milk and cream in solid forms of a fat content by weight of > 15% unsweetened']","['Black fermented tea and partly fermented tea whether or not flavoured in immediate packings of > 3 kg', 'Black fermented tea and partly fermented tea whether or not flavoured in immediate packings of <= 3 kg', 'Brassieres of all types of textile materials whether or not elasticated incl. knitted or crocheted', 'Solid or cushion tyres interchangeable tyre treads and tyre flaps of rubber', 'Gloves mittens and mitts impregnated coated covered or laminated with plastics or rubber knitted or crocheted', 'T-shirts singlets and other vests of textile materials knitted or crocheted (excl. cotton)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Nuts and other seeds incl. mixtures prepared or preserved (excl. prepared or preserved with vinegar preserved with sugar but not laid in syrup jams fruit jellies marmalades fruit purée and pastes obtained by cooking and groundnuts)', ""Babies' garments and clothing accessories of cotton knitted or crocheted (excl. hats)"", 'Cinnamon ""Cinnamomum zeylanicum Blume"" (excl. crushed and ground)']"
sudan,"['Durum wheat seed for sowing', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only spark-ignition internal combustion reciprocating piston engine of a cylinder capacity > 1.500 cm³ but <= 3.000 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)', 'Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure or streptomycins or derivatives thereof not in measured doses or put up for retail sale', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Self-propelled bulldozers and angledozers on wheels', 'Tractors of an engine power <= 18 kW (excl. those of heading 8709 pedestrian-controlled tractors road tractors for semi-trailers and track-laying tractors)', 'Motor vehicles for the transport of goods with only compression-ignition internal combustion piston engine ""diesel or semi-diesel"" of a gross vehicle weight <= 5 t (excl. dumpers for off-highway use of subheading 8704.10 and special purpose motor vehicles of heading 8705)', 'Parts and accessories for tractors motor vehicles for the transport of ten or more persons motor cars and other motor vehicles principally designed for the transport of persons motor vehicles for the transport of goods and special purpose motor vehicles n.e.s.']","['Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Sesamum seeds whether or not broken', 'Live sheep', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Live camels and other camelids [Camelidae]', 'Cotton neither carded nor combed', 'Natural gum Arabic', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Groundnuts shelled whether or not broken (excl. seed for sowing roasted or otherwise cooked)', 'Live cattle (excl. pure-bred for breeding)']"
suriname,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Unused postage revenue or similar stamps of current or new issue in the country in which they have or will have a recognised face value; stamp-impressed paper; banknotes; cheque forms; stock share or bond certificates and similar documents of title', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Containers incl. containers for the transport of fluids specially designed and equipped for carriage by one or more modes of transport', 'Parts for boring or sinking machinery of subheading 8430.41 or 8430.49 n.e.s.', 'Structures and parts of structures of iron or steel n.e.s. (excl. bridges and bridge-sections towers and lattice masts doors and windows and their frames thresholds for doors props and similar equipment for scaffolding shuttering propping or pit-propping)', 'Motor vehicles for the transport of goods with only compression-ignition internal combustion piston engine ""diesel or semi-diesel"" of a gross vehicle weight <= 5 t (excl. dumpers for off-highway use of subheading 8704.10 and special purpose motor vehicles of heading 8705)', 'Parts of machinery of heading 8426 8429 and 8430 n.e.s.', 'Waters incl. mineral and aerated with added sugar sweetener or flavour for direct consumption as a beverage', 'Ammonium nitrate whether or not in aqueous solution (excl. that in tablets or similar forms or in packages with a gross weight of <= 10 kg)']","['Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Unspecified products', 'Wood in the rough whether or not stripped of bark or sapwood or roughly squared (excl. rough-cut wood for walking sticks umbrellas tool shafts and the like; wood cut into boards or beams etc.; wood treated with paint stains creosote or other preservatives coniferous and tropical wood oak beech birch poplar aspen and eucalyptus)', 'Parts for boring or sinking machinery of subheading 8430.41 or 8430.49 n.e.s.', 'Cigarettes containing tobacco', 'Machines and mechanical appliances n.e.s.', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Pebbles gravel broken or crushed stone for concrete aggregates for road metalling or for railway or other ballast shingle and flint whether or not heat-treated', 'Articles of iron or steel n.e.s. (excl. cast articles or articles of iron or steel wire)', 'Wood sawn or chipped lengthwise sliced or peeled whether or not planed sanded or end-jointed of a thickness of > 6 mm (excl. tropical wood coniferous wood oak ""Quercus spp."" beech ""Fagus spp."" maple ""Acer spp."" cherry ""Prunus spp."" ash ""Fraxinus spp."" birch ""Betula spp."" poplar and aspen ""Populus spp."")']"
tanzania,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Road tractors for semi-trailers with only compression-ignition internal combustion piston engine ""diesel or semi-diesel""', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Line pipe of a kind used for oil or gas pipelines having circular cross-sections and an external diameter of > 4064 mm of iron or steel longitudinally submerged arc welded', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Raw cane sugar in solid form not containing added flavouring or colouring matter (excl. cane sugar of 1701 13)', 'Flat-rolled products of iron or non-alloy steel of a width of >= 600 mm in coils simply hot-rolled not clad plated or coated of a thickness of < 3 mm not pickled without patterns in relief', 'Diesel-electric locomotives', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)']","['Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Fresh or dried cashew nuts in shell', 'Tobacco partly or wholly stemmed or stripped otherwise unmanufactured', 'Coffee (excl. roasted and decaffeinated)', 'Sesamum seeds whether or not broken', 'Copper ores and concentrates', 'Dried shelled pigeon peas ""Cajanus cajan"" whether or not skinned or split', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Gold incl. gold plated with platinum in semi-manufactured forms for non-monetary purposes', 'Coal whether or not pulverised non-agglomerated (excl. anthracite and bituminous coal)']"
timor-leste,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Broken rice', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Overhead travelling cranes transporter cranes gantry cranes bridge cranes and mobile lifting frames (excl. overhead travelling cranes on fixed support mobile lifting frames on tyres straddle carriers and portal or pedestal jib cranes)', 'Frozen cuts and edible offal of fowls of the species Gallus domesticus', 'Portland cement (excl. white whether or not artificially coloured)', 'Cigarettes containing tobacco', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Motorcycles incl. mopeds with reciprocating internal combustion piston engine of a cylinder capacity > 50 cm³ but <= 250 cm³']","['Petroleum oils and oils obtained from bituminous minerals crude', 'Coffee husks and skins; coffee substitutes containing coffee in any proportion', 'Butanes liquefied (excl. of a purity of >= 95% of N-butane or isobutane)', 'Propane liquefied', 'Coffee (excl. roasted and decaffeinated)', 'Mobile cranes and works trucks fitted with a crane self-propelled (excl. those on tyres and straddle carriers)', 'Pile-drivers and pile-extractors (excl. those mounted on railway wagons motor vehicle chassis or lorries)', 'Appliances for pipes boiler shells tanks vats or the like (excl. pressure-reducing valves valves for the control of pneumatic power transmission check ""non-return"" valves and safety or relief valves)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Copra']"
togo,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Urea whether or not in aqueous solution (excl. that in tablets or similar forms or in packages with a gross weight of <= 10 kg)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Motorcycles incl. mopeds with reciprocating internal combustion piston engine of a cylinder capacity > 50 cm³ but <= 250 cm³', 'Petroleum bitumen', 'Natural gas liquefied', 'Polyethylene with a specific gravity of < 094 in primary forms', 'Prefabricated buildings whether or not complete or already assembled (excl. of wood and modular building units of steel)']","['Natural calcium phosphates and natural aluminium calcium phosphates natural and phosphatic chalk unground', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Sacks and bags incl. cones of polymers of ethylene', 'Oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of soya-bean oil', 'Cement clinkers', 'Beauty or make-up preparations and preparations for the care of the skin (other than medicaments) incl. sunscreen or suntan preparations (excl. medicaments lip and eye make-up preparations manicure or pedicure preparations and make-up or skin care powders incl. baby powders)', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Cotton neither carded nor combed', 'Motorcycles incl. mopeds with reciprocating internal combustion piston engine of a cylinder capacity > 50 cm³ but <= 250 cm³', 'False beards eyebrows and eyelashes switches and the like of synthetic textile materials (excl. complete wigs)']"
uganda,"['Gold incl. gold plated with platinum in semi-manufactured forms for non-monetary purposes', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Crude palm oil', 'Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Cement clinkers', 'Flat-rolled products of iron or non-alloy steel of a width of >= 600 mm in coils simply hot-rolled not clad plated or coated of a thickness of < 3 mm not pickled without patterns in relief']","['Gold incl. gold plated with platinum in semi-manufactured forms for non-monetary purposes', 'Coffee (excl. roasted and decaffeinated)', 'Cocoa beans whole or broken raw or roasted', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)', 'Portland cement (excl. white whether or not artificially coloured)', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Black fermented tea and partly fermented tea whether or not flavoured in immediate packings of > 3 kg', 'Fresh or chilled fillets of Nile perch ""Lates niloticus""', 'Tobacco partly or wholly stemmed or stripped otherwise unmanufactured']"
uzbekistan,"['Natural gas in gaseous state', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters dirigibles and unmanned of heading 8806)', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only spark-ignition internal combustion reciprocating piston engine of a cylinder capacity > 1.500 cm³ but <= 3.000 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Flat-rolled products of iron or non-alloy steel of a width of >= 600 mm in coils simply hot-rolled not clad plated or coated of a thickness of < 3 mm not pickled without patterns in relief', 'Gear boxes and parts thereof for tractors motor vehicles for the transport of ten or more persons motor cars and other motor vehicles principally designed for the transport of persons motor vehicles for the transport of goods and special purpose motor vehicles n.e.s.']","['Gold incl. gold plated with platinum in semi-manufactured forms for non-monetary purposes', 'Unspecified products', 'Natural gas in gaseous state', 'Copper refined in the form of cathodes and sections of cathodes', 'Single cotton yarn of combed fibres containing >= 85% cotton by weight and with a linear density of 19231 decitex to < 23256 decitex ""> MN 43 to MN 52"" (excl. sewing thread and yarn put up for retail sale)', 'T-shirts singlets and other vests of cotton knitted or crocheted', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Wire of refined copper with a maximum cross-sectional dimension of <= 6 mm', 'Single cotton yarn of uncombed fibres containing >= 85% cotton by weight and with a linear density of 23256 decitex to < 71429 decitex ""> MN 14 to MN 43"" (excl. sewing thread and yarn put up for retail sale)', 'Single cotton yarn of uncombed fibres containing >= 85% cotton by weight and with a linear density of 19231 decitex to < 23256 decitex ""> MN 43 to MN 52"" (excl. sewing thread and yarn put up for retail sale)']"
